State,ssvf_award_total,Number of CoCs,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients **,Sheltered ES Homeless Veterans,Sheltered TH Homeless Veterans,Sheltered SH Homeless Veterans
North Dakota,884777.0,1.0,151,117,34,2014,57395.12696870261,367003.28641834087,171164.72599999994,3969.5322,25528.136000000002,0.0,6507.541330000001,4155.866339999998,155677.48454834096,18988,63,54,0
Ohio,8506323.0,9.0,1236,1102,134,2014,866480.5173918114,7504280.563865891,2235023.1149999993,21381.764650000005,324968.532,0.0,2549868.2442400004,56927.64730799999,2316111.260667891,230266,547,554,1
Oklahoma,4723414.0,8.0,408,273,135,2014,337571.2768601079,2934748.314138278,1823983.4109999996,4905.35821,155650.069,0.0,121168.67777,20466.879659999988,808573.9184982781,92674,182,77,14
Oregon,3308214.0,7.0,1292,702,590,2014,331632.41995578876,2542834.018875663,1282449.363,19124.15853,142348.40000000002,0.0,35596.69706,23412.721524000008,1039902.6787616635,99502,353,349,0
Pennsylvania,13629944.0,18.0,1411,1336,75,2014,939069.139161769,5260391.1720669,2432807.228999999,19992.470390000002,376416.83699999994,0.0,158370.60587,79167.36574800005,2193636.6640589014,233551,503,762,71
Puerto Rico,299360.0,2.0,87,45,42,2014,93240.15825673,1563236.6022975827,816543.7840000003,17829.9845,65063.60299999999,0.0,22156.587310000003,2832.2720039999995,638810.3714835824,57248,7,36,2
Rhode Island,1178835.0,1.0,108,108,0,2014,71966.270413977,529502.8892089541,232603.522,3355.07179,40497.85999999999,0.0,21115.04897,6221.091575999998,225710.2948729541,19954,30,77,1
South Carolina,2000000.0,4.0,703,399,304,2014,417553.50973317603,3289095.292838176,1868959.1360000004,10942.113399999998,267184.723,0.0,65216.400069999996,31414.724663999994,1045378.1957041754,127365,138,261,0
South Dakota,761436.0,1.0,132,128,4,2014,72030.26168661391,619863.7327892449,238175.22499999998,3531.17303,31787.083,0.0,11592.983499999998,6102.603876000002,328674.66438324493,29827,34,94,0
Tennessee,4439682.0,10.0,1142,920,222,2014,506339.9579800235,3758887.7091372246,1995305.412,6028.30605,269071.395,0.0,63216.58491,32085.404508000014,1393180.6066692246,140625,523,397,0
Texas,15521584.0,12.0,2718,1576,1142,2014,1680417.9317133068,15394004.64254184,7282259.671999995,28797.885290000006,1357829.518000001,2046206.49982,223666.90621,110140.67578800008,4345103.485433846,446303,821,748,7
Utah,340240.0,3.0,317,293,24,2014,151718.51805537342,1029343.7991110119,433072.702,2155.8481,120457.01999999999,0.0,56947.44299,11521.485443999996,405189.30057701195,35142,93,200,0
Vermont,952071.0,2.0,120,111,9,2014,48601.62264388219,295362.0468197239,135802.974,1559.90651,20321.380999999998,0.0,3796.07991,3154.8728280000005,130726.83257172395,14919,34,77,0
Virginia,3739016.0,16.0,620,535,85,2014,781387.9282551659,5251707.267968016,2729280.1829999993,21218.11505,931879.984,0.0,63299.83924,62359.89709200004,1443669.2495860162,148585,315,210,10
Washington,6147473.0,7.0,1433,1089,344,2014,603622.6172035725,3811479.023840257,2070141.473,33346.2667,392246.64599999995,0.0,71073.52737999998,41738.638488000004,1202932.472272258,124006,570,517,2
West Virginia,2806974.0,4.0,333,303,30,2014,167355.10890219512,1826167.1724388534,722957.615,9927.100150000002,49784.371,0.0,318791.1512,8505.371016000001,716201.5640728534,59261,213,90,0
Wisconsin,3144073.0,4.0,520,496,24,2014,413722.689557693,2665107.1212865366,1142091.3610000003,11983.95495,143543.764,0.0,70815.80403999999,33241.753008000014,1263430.4842885365,120515,162,331,3
Wyoming,1366620.0,1.0,116,95,21,2014,49707.7402776105,383891.4460561038,152461.06499999994,4143.658950000001,17543.565000000002,0.0,1623.04345,2710.1607000000004,205409.95295610387,18730,38,57,0
Alaska,864241.0,2.0,180,149,31,2015,73275.7988364943,584862.5013478396,247523.91600000003,39.664410000000004,72262.043,0.0,8107.09763,2642.225,254287.55530783936,19256,106,43,0
Arizona,8838814.0,3.0,1220,672,548,2015,528486.2697853011,3757595.9396947157,1652046.9440000001,19007.027589999998,407881.614,0.0,79842.68084999999,37466.16,1561351.5132547156,147953,227,442,3
Arkansas,623540.0,7.0,456,385,71,2015,247887.62111676985,2174053.018392337,1037492.3490000002,17025.610350000003,88985.63399999999,0.0,30086.21627,14966.265000000001,985496.9437723362,86908,246,139,0
California,9404210.0,43.0,11311,4309,7002,2015,1802445.5373385728,14938931.479777608,6552099.9229999995,158970.28888,1786145.848,0.0,195903.52697,168464.78399999999,6077347.1089276085,467539,1940,2337,32
Colorado,1605833.0,3.0,950,644,306,2015,409469.02213712095,3482532.829982141,1490936.298000001,438517.64018999995,391310.5890000001,0.0,60067.628560000005,36676.62800000001,1065024.0462321413,100614,376,266,2
Connecticut,3840099.0,3.0,282,241,41,2015,206548.629361803,1249123.958762762,435226.12,160.10675,107651.49799999999,0.0,15454.9713,22613.181000000004,668018.0817127618,50584,80,161,0
Delaware,922874.0,1.0,79,74,5,2015,77354.04016469,422277.67466087267,204297.309,2645.93623,36679.63,0.0,3328.19038,4472.494000000001,170854.11505087267,15657,44,30,0
District of Columbia,305646.0,1.0,408,366,42,2015,29470.46937829,2960157.040220289,88498.113,163142.67103,29182.206,0.0,2436002.31007,3506.513,239825.22712028926,8580,247,119,0
Florida,29142405.0,27.0,3926,2372,1554,2015,1558441.3039579995,12276149.3121848,5626994.550999997,125364.65073000001,1021330.715,0.0,152603.18005,135626.99800000002,5214229.2174048005,503251,834,1510,28
Georgia,7548778.0,9.0,1548,866,682,2015,752499.45692082,5705037.195368267,3112295.384,9538.35113,508281.6490000001,0.0,106659.14850999998,53166.67700000001,1915095.9857282678,197458,274,592,0
Guam,616484.0,1.0,23,1,22,2015,9493.4839339325,89961.123,53086.885,0.0,16101.432,0.0,0,426.825,20345.981,2934,0,1,0
Hawaii,2751188.0,2.0,692,275,417,2015,120482.3912229219,888037.4498956485,394010.299,3346.92403,183257.119,0.0,16891.13122,13611.195,276920.7816456487,26450,88,185,2
Idaho,512715.0,2.0,249,174,75,2015,132334.4716497519,893404.0461931267,405841.43199999986,12261.731740000001,56724.26900000001,0.0,9580.41611,8767.412000000002,400228.7853431266,42592,52,122,0
Illinois,10514731.0,20.0,1226,769,457,2015,705581.5947599346,4395048.041930834,1687259.8330000006,13424.38017,329365.49099999975,0.0,49120.045360000004,61783.825999999994,2254094.4664008366,181710,259,506,4
Indiana,5387631.0,3.0,790,726,64,2015,469209.83374752593,2787065.950768698,1233530.4409999996,5404.6054300000005,151371.90000000002,0.0,53740.895209999995,25497.444000000003,1317520.665128699,130705,183,515,28
Iowa,2592717.0,3.0,207,175,32,2015,227990.85717930557,1397550.694173056,581555.963,248.21703000000002,74950.003,0.0,11567.85735,19432.696,709795.9577930553,72039,80,95,0
Kansas,1440513.0,5.0,311,276,35,2015,218415.71509484077,1415559.0492685733,631884.8429999999,738.1131700000001,110338.21800000002,0.0,23747.04052,16835.679,632015.1555785735,58852,98,178,0
Kentucky,1695237.0,3.0,591,541,50,2015,328408.26392878464,2501382.761702615,1231438.1980000003,15543.5372,141334.91899999997,0.0,43806.97025,17999.585999999996,1051259.551252613,101799,259,282,0
Louisiana,6320414.0,9.0,392,350,42,2015,326229.0572706834,2658351.002299291,1211259.6660000002,288759.11101,146459.51900000003,0.0,28577.23319,20551.658999999996,962743.8140992906,89654,76,253,21
Maine,1651846.0,2.0,151,142,9,2015,125077.8698124915,982591.1642385895,519582.52,101.4267,42841.07400000001,0.0,19660.46002,10280.761,390124.9225185895,40174,86,56,0
Maryland,5350971.0,16.0,714,586,128,2015,430446.0517480799,2866922.880781049,1279895.44,10172.65817,350881.823,0.0,24263.516760000002,35023.05300000001,1166686.3898510486,84729,235,345,6
Massachusetts,9075195.0,16.0,1133,1101,32,2015,367530.9732340977,2693536.4845090085,1141559.686,5359.61654,211092.497,0.0,27522.366820000003,39885.667,1268116.651149009,84625,367,718,16
Michigan,2866821.0,21.0,1067,991,76,2015,640864.8332773009,3856571.928425848,1959409.9430000007,10804.533089999999,215843.52500000005,0.0,54702.36710999999,46716.525,1569095.035225848,152881,373,588,30
Minnesota,2696913.5,10.0,297,253,44,2015,361128.96947275475,2637123.5734547866,1123595.194,10725.75917,146596.92500000002,0.0,86488.02958999999,35199.50399999999,1234518.1616947877,117414,130,123,0
Mississippi,2640697.782,3.0,206,87,119,2015,218979.70270147553,1739068.037528996,791716.1940000004,34603.0321,96930.08299999998,0.0,29818.649830000002,12940.775999999994,773059.3025989938,69923,33,54,0
Missouri,1050707.0,8.0,540,430,110,2015,488219.52241542493,3556661.0035949657,1627459.6489999986,70190.23862,199876.7950000001,0.0,154122.80226,34210.516,1470801.002714965,140618,193,221,16
Montana,1170124.0,1.0,277,98,179,2015,99033.91906021703,780684.9917187445,324328.843,5971.6730099999995,40827.801,0.0,8800.91886,7001.526999999998,393754.22884874453,36365,52,46,0
Nebraska,523933.0,3.0,247,231,16,2015,141213.3140993015,1171266.3968266323,546459.1829999998,11448.42805,65077.95800000001,0.0,37409.97166999999,11703.054000000006,499167.8021066322,47822,95,136,0
Nevada,6146247.0,3.0,860,516,344,2015,225072.7316162751,1885150.9247617333,818843.69,27881.75284,107052.547,0.0,14560.906719999999,12546.988,904265.0402017331,71894,139,377,0
New Hampshire,1405878.0,3.0,138,124,14,2015,111389.36736719612,702720.0325569843,313725.0410000001,554.8536700000001,59060.33500000001,0.0,6587.33858,9098.215,313694.24930698436,29595,38,85,1
New Jersey,9242996.0,16.0,696,616,80,2015,413187.733741918,2157161.8858013195,1036505.9669999998,5046.55806,207473.935,0.0,18670.136599999998,49038.814999999995,840426.4741413194,77318,284,330,2
